Rating,URL,Review Count,Price,Description
Women Casual Fashion California Hoodie Los Angeles Pullover Drawstring Graphic Sweatshirt,$26.99,4.0 out of 5 stars,"(1,061)",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1022836142G7ILUDRIS3&qualifier=1673311108&id=7159014307471089&widgetName=sp_atf&url=%2FSOLY-HUX-Womens-Drawstring-Sweatshirt%2Fdp%2FB096B5SLXP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1HT27OCBDLP2O%26keywords%3Dhoodie%26qid%3D1673311108%26sprefix%3Dhoodie%252Caps%252C87%26sr%3D8-1-spons%26psc%3D1
"Men's Sweatshirt, EcoSmart Fleece Hoodie, Cotton-Blend Fleece Hooded Sweatshirt, Plush Fleece Pullover Hoodie",$14.59,4.5 out of 5 stars,"(161,334)",https://www.amazon.com//Hanes-Pullover-EcoSmart-Fleece-4X-Large/dp/B00JUM311E/ref=sr_1_2?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-2
"Eversoft Fleece Sweatshirts & Hoodies, Moisture Wicking & Breathable, Sizes S-4X",$11.24,4.6 out of 5 stars,"(48,038)",https://www.amazon.com//Fruit-Loom-Eversoft-Sweatshirts-Pullover-Black/dp/B08YHBW4J5/ref=sr_1_3?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-3
Men’s Ultimate Cotton Heavyweight Pullover Hoodie Sweatshirt,$16.99,4.5 out of 5 stars,"(43,791)",https://www.amazon.com//Hanes-Pullover-Ultimate-Heavyweight-Fleece/dp/B00JUMDZTC/ref=sr_1_4?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-4
"Men's Sweatshirt, Powerblend Hoodie for Men, Iconic 'C' Logo",$25.00,4.7 out of 5 stars,"(51,599)",https://www.amazon.com//Champion-Powerblend-Pullover-Hoodie-Black/dp/B01HIUTCW6/ref=sr_1_5?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-5
"Adult Fleece Hooded Sweatshirt, Style G18500",$16.37,4.6 out of 5 stars,"(104,392)",https://www.amazon.com//Gildan-Fleece-Sweatshirt-G18500-X-Large/dp/B01B9K2JB2/ref=sr_1_6?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-6
"Men's Hoodie, EcoSmart Fleece Zip-Front Hooded Sweatshirt, Cotton-Blend Fleece Hooded Sweatshirt, Mid-Weight Zip-Up",$13.00,4.6 out of 5 stars,"(109,462)",https://www.amazon.com//Hanes-Full-Zip-EcoSmart-Fleece-Hoodie/dp/B071FT2J6D/ref=sr_1_7?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-7
Men's Hooded Fleece Sweatshirt,$22.50,4.6 out of 5 stars,"(38,657)",https://www.amazon.com//Amazon-Essentials-Hooded-Fleece-Sweatshirt/dp/B075JNL9T3/ref=sr_1_8?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-8
Mens Pullover Fleece Hoodie,$51.25,4.8 out of 5 stars,(140),https://www.amazon.com//Nike-Club-Hoodie-Navy-L/dp/B08D3XMDFX/ref=sr_1_9?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-9
"Men's Pullover Hoodie, Powerblend Fleece Midweight Hooded Sweatshirt For Men, Best Hoodies for Men, Script",$24.00,4.7 out of 5 stars,"(71,356)",https://www.amazon.com//Champion-Graphic-Powerblend-Fleece-XX-Large/dp/B078GLSGSS/ref=sr_1_10?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-10
